ID,Category,Latitude,Longitude
1001,,44.8478406,11.970669
1002,,44.8480467,11.9706642
1003,,44.8482344,11.970668
1004,,44.8484063,11.9706649
1005,,44.8486008,11.9706609
1006,,44.8487944,11.9706567
1007,,44.849017,11.970661
1008,,44.8492249,11.9706624
1009,,44.8494224,11.9706481
1010,,44.849639,11.9706492
1011,,44.8498439,11.9706443
1012,,44.8497403,11.9707542
1013,,44.8495479,11.9707488
1014,,44.8493375,11.9707514
1015,,44.8491413,11.9707547
1016,,44.8489505,11.9707474
1017,,44.8487414,11.9707488
1018,,44.8485467,11.9707502
1019,,44.848357,11.9707524
1020,,44.8481759,11.9707558
1021,,44.8479874,11.9707598
1022,,44.8477938,11.9707625
1023,,44.8476054,11.9707607
1024,,44.8475904,11.9708572
1025,,44.8477835,11.9708496
1026,,44.8479954,11.9708461
1027,,44.8481907,11.9708385
1028,,44.8483916,11.9708409
1029,,44.848597,11.970835
1030,,44.8487878,11.9708278
1031,,44.8489947,11.9708206
1032,,44.849196,11.9708359
1033,,44.8493916,11.9708357
1034,,44.8496043,11.9708377
1035,,44.8497985,11.9708312
1036,,44.849778,11.9709013
1037,,44.84955,11.9709064
1038,,44.8493223,11.9709105
1039,,44.8490897,11.9709126
1040,,44.8488706,11.9709153
1041,,44.8486438,11.9709183
1042,,44.8483986,11.970916
1043,,44.8481738,11.9709194
1044,,44.8479603,11.9709214
1045,,44.8477371,11.970921
1046,,44.847524,11.9709246
1047,,44.847406,11.9712819
1048,,44.8475254,11.9714347
1049,,44.8476911,11.971443
1050,,44.847876,11.9714408
1051,,44.8480556,11.9714384
1052,,44.8482385,11.9714416
1053,,44.848432,11.971434
1054,,44.8486211,11.9714302
1055,,44.8488143,11.9714231
1056,,44.8490168,11.9714187
1057,,44.8492078,11.9714163
1058,,44.8493989,11.9714219
1059,,44.8496043,11.9714218
1060,,44.8497916,11.9714182
1061,,44.8498336,11.9712014
1062,,44.8496979,11.9713199
1063,,44.8495203,11.9713406
1064,,44.8493283,11.9713361
1065,,44.8491481,11.971334
1066,,44.8489668,11.9713291
1067,,44.8487714,11.9713221
1068,,44.8485915,11.9713278
1069,,44.8484108,11.9713334
1070,,44.8482121,11.971342
1071,,44.8480339,11.9713446
1072,,44.8478568,11.9713457
1073,,44.8476735,11.9713462
1074,,44.8474993,11.9713487
1075,,44.8474124,11.9711858
1076,,44.847484,11.9711175
1077,,44.8476557,11.971115
1078,,44.8478382,11.9711176
1079,,44.8480101,11.9711139
1080,,44.8481955,11.9711198
1081,,44.848386,11.9711077
1082,,44.8485604,11.9711039
1083,,44.8487333,11.9711031
1084,,44.8489186,11.9711053
1085,,44.8490907,11.9711035
1086,,44.849279,11.971103
1087,,44.8494552,11.9711015
1088,,44.8496308,11.9710963
1089,,44.8498205,11.9710967
1090,,44.8496589,11.9712548
1091,,44.8494714,11.9712627
1092,,44.8492766,11.971263
1093,,44.8490645,11.9712637
1094,,44.8488659,11.9712618
1095,,44.8486719,11.9712626
1096,,44.8484627,11.9712673
1097,,44.8482695,11.9712669
1098,,44.8480635,11.9712678
1099,,44.8478698,11.9712701
1100,,44.8476865,11.9712768
1101,,44.8474975,11.9712809
1102,,44.8475841,11.9711966
1103,,44.8477561,11.9711948
1104,,44.8479334,11.971193
1105,,44.848121,11.971195
1106,,44.8482966,11.9711889
1107,,44.8484734,11.9711914
1108,,44.8486615,11.9711901
1109,,44.8488509,11.9711864
1110,,44.8490532,11.9711835
1111,,44.8492408,11.9711816
1112,,44.8494589,11.9711819
1113,,44.8496611,11.9711822
1114,,44.849722,11.9717929
1115,,44.8496664,11.9718706
1116,,44.8494881,11.971874
1117,,44.8493098,11.9718769
1118,,44.8491164,11.9718762
1119,,44.8489345,11.9718756
1120,,44.8487595,11.9718791
1121,,44.8485453,11.9718722
1122,,44.8483497,11.9718719
1123,,44.8481604,11.9718734
1124,,44.8479457,11.9718768
1125,,44.8477509,11.9718812
1126,,44.8475637,11.9718854
1127,,44.8474072,11.9716616
1128,,44.8474426,11.9715689
1129,,44.8476105,11.9715693
1130,,44.8477835,11.9715642
1131,,44.8479512,11.9715611
1132,,44.8481339,11.9715588
1133,,44.8483345,11.9715563
1134,,44.848531,11.9715531
1135,,44.8487264,11.971558
1136,,44.8489444,11.9715547
1137,,44.8491518,11.9715482
1138,,44.8493616,11.9715464
1139,,44.849586,11.9715462
1140,,44.8495647,11.9717788
1141,,44.8493856,11.971787
1142,,44.8492136,11.9717969
1143,,44.8490282,11.9717916
1144,,44.8488427,11.9717895
1145,,44.8486736,11.97179
1146,,44.8484968,11.9717939
1147,,44.8483134,11.9717958
1148,,44.8481236,11.9717945
1149,,44.847937,11.9717998
1150,,44.8477401,11.9718045
1151,,44.8475544,11.9718072
1152,,44.8474342,11.9716549
1153,,44.847634,11.9716538
1154,,44.8478313,11.9716474
1155,,44.8480451,11.9716435
1156,,44.8482414,11.9716447
1157,,44.8484384,11.9716447
1158,,44.8486489,11.9716399
1159,,44.8488525,11.9716374
1160,,44.8490476,11.971638
1161,,44.8492608,11.9716381
1162,,44.8494588,11.9716354
1163,,44.8496592,11.9716325
1164,,44.8496017,11.971707
1165,,44.8494109,11.9717062
1166,,44.8492296,11.9717095
1167,,44.8490487,11.9717129
1168,,44.8488508,11.9717097
1169,,44.8486688,11.9717181
1170,,44.8484725,11.971725
1171,,44.8482645,11.9717172
1172,,44.8480686,11.9717085
1173,,44.8478757,11.9717098
1174,,44.8476673,11.9717179
1175,,44.8474775,11.9717274
1176,,44.8474054,11.9721087
1177,,44.8474087,11.9722885
1178,,44.8474158,11.9724686
1179,,44.8475218,11.9724722
1180,,44.8476814,11.9724714
1181,,44.8478398,11.9724787
1182,,44.8480196,11.9724811
1183,,44.8481993,11.9724758
1184,,44.848376,11.972477
1185,,44.8485683,11.972478
1186,,44.8487462,11.9724754
1187,,44.8489201,11.9724706
1188,,44.8491071,11.9724712
1189,,44.8492855,11.9724708
1190,,44.8494612,11.9724736
1191,,44.8496291,11.9722586
1192,,44.8496695,11.9720504
1193,,44.8495509,11.9719996
1194,,44.8493537,11.9720041
1195,,44.849167,11.9720058
1196,,44.848978,11.9720022
1197,,44.8487746,11.9720068
1198,,44.8485876,11.9720038
1199,,44.8484011,11.9720054
1200,,44.8481999,11.9720079
1201,,44.8480039,11.9720069
1202,,44.8478152,11.9720116
1203,,44.8476217,11.9720182
1204,,44.8474869,11.9720846
1205,,44.8476607,11.972091
1206,,44.8478457,11.972094
1207,,44.8480222,11.9720938
1208,,44.8482283,11.9720937
1209,,44.8483912,11.9720899
1210,,44.8485625,11.9720897
1211,,44.8487482,11.9720924
1212,,44.8489344,11.9720876
1213,,44.849122,11.9720879
1214,,44.849326,11.9720875
1215,,44.8495239,11.9720869
1216,,44.8495825,11.9723903
1217,,44.8493895,11.9723926
1218,,44.8491918,11.9723959
1219,,44.8489895,11.9723952
1220,,44.8487977,11.9723944
1221,,44.848603,11.9723883
1222,,44.8483999,11.9723843
1223,,44.8482083,11.9723861
1224,,44.8480026,11.972386
1225,,44.8478141,11.9723869
1226,,44.8476467,11.9723911
1227,,44.8474752,11.972395
1228,,44.8474202,11.9721789
1229,,44.847595,11.9721743
1230,,44.8477675,11.9721737
1231,,44.84794,11.9721741
1232,,44.8481329,11.9721725
1233,,44.848305,11.9721812
1234,,44.8484864,11.9721853
1235,,44.8486682,11.9721806
1236,,44.848845,11.9721777
1237,,44.8490295,11.9721666
1238,,44.8492044,11.972169
1239,,44.8493781,11.9721736
1240,,44.8495019,11.9721764
1241,,44.8494851,11.9722589
1242,,44.849263,11.9722579
1243,,44.8490377,11.9722532
1244,,44.8488019,11.9722431
1245,,44.8485687,11.9722512
1246,,44.8483456,11.9722441
1247,,44.8481033,11.9722438
1248,,44.8478737,11.9722481
1249,,44.8476418,11.9722539
1250,,44.847424,11.9723252
1251,,44.847637,11.9723324
1252,,44.8478474,11.9723349
1253,,44.8480519,11.9723307
1254,,44.8482724,11.9723276
1255,,44.8484816,11.9723268
1256,,44.8486984,11.9723254
1257,,44.8489049,11.9723255
1258,,44.8491159,11.9723245
1259,,44.8493465,11.9723234
1260,,44.849576,11.9723243
1261,,44.8494149,11.9729677
1262,,44.8492544,11.9729595
1263,,44.8490668,11.972967
1264,,44.8488774,11.9729708
1265,,44.8486843,11.9729753
1266,,44.8484736,11.9729756
1267,,44.8482729,11.9729855
1268,,44.8480838,11.9729792
1269,,44.847876,11.9729797
1270,,44.8476782,11.9729847
1271,,44.8474844,11.972983
1272,,44.8476035,11.9725977
1273,,44.8477824,11.9725963
1274,,44.8479644,11.9725917
1275,,44.8481602,11.9725906
1276,,44.8483495,11.9725924
1277,,44.8485501,11.9725965
1278,,44.8487318,11.9725933
1279,,44.8489231,11.9725893
1280,,44.8491235,11.9725862
1281,,44.8493106,11.9725958
1282,,44.8494957,11.9725943
1283,,44.8495022,11.972681
1284,,44.8493008,11.972687
1285,,44.8490844,11.972688
1286,,44.8488807,11.9726787
1287,,44.848674,11.9726795
1288,,44.8484896,11.9726763
1289,,44.848301,11.9726739
1290,,44.8480971,11.972674
1291,,44.8479067,11.9726754
1292,,44.8477193,11.9726836
1293,,44.8475175,11.9726821
1294,,44.8474304,11.9727648
1295,,44.8476254,11.9727678
1296,,44.8478053,11.9727768
1297,,44.8479935,11.9727697
1298,,44.8481861,11.9727619
1299,,44.8483706,11.9727624
1300,,44.8485525,11.9727669
1301,,44.8487376,11.9727702
1302,,44.8489104,11.9727776
1303,,44.8490963,11.9727797
1304,,44.849295,11.9727774
1305,,44.8494809,11.9727634
1306,,44.8493528,11.9734712
1307,,44.8491572,11.9734774
1308,,44.8489918,11.9734865
1309,,44.8488274,11.9734836
1310,,44.8486645,11.9734864
1311,,44.8484882,11.9734885
1312,,44.8483203,11.973492
1313,,44.8481539,11.9734924
1314,,44.8479768,11.9734969
1315,,44.8476383,11.9734845
1316,,44.8475252,11.9734859
1317,,44.8476586,11.9728422
1318,,44.8478433,11.9728441
1319,,44.8480206,11.9728408
1320,,44.8482139,11.9728362
1321,,44.848398,11.9728359
1322,,44.8485814,11.9728345
1323,,44.8487697,11.9728326
1324,,44.8489575,11.972839
1325,,44.8491555,11.9728669
1326,,44.849354,11.9728619
1327,,44.8494391,11.9728774
1328,,44.8492012,11.9729087
1329,,44.8489783,11.9729245
1330,,44.8487388,11.972931
1331,,44.8485134,11.9729365
1332,,44.8483183,11.97294
1333,,44.8480967,11.9729294
1334,,44.8478953,11.9729292
1335,,44.8476987,11.9729276
1336,,44.847508,11.9729222
1337,,44.847453,11.9731032
1338,,44.8476189,11.9730903
1339,,44.8477813,11.9730932
1340,,44.8479606,11.9730955
1341,,44.8481302,11.9730915
1342,,44.8483071,11.973092
1343,,44.8484902,11.9730892
1344,,44.8486631,11.9730905
1345,,44.8488303,11.9730881
1346,,44.8490251,11.9730894
1347,,44.8492122,11.9730883
1348,,44.8493912,11.9730918
1349,,44.8492998,11.9731799
1350,,44.8491088,11.9731701
1351,,44.8489232,11.9731799
1352,,44.8487432,11.9731809
1353,,44.8485445,11.973181
1354,,44.8483617,11.9731888
1355,,44.8481779,11.973186
1356,,44.8479789,11.9731907
1357,,44.8477938,11.9731922
1358,,44.8476127,11.9731859
1359,,44.8475486,11.9732732
1360,,44.8477247,11.9732677
1361,,44.8478863,11.9732747
1362,,44.8480537,11.9732615
1363,,44.8482301,11.9732666
1364,,44.8483971,11.9732646
1365,,44.8485805,11.9732668
1366,,44.8487469,11.973266
1367,,44.8489077,11.973265
1368,,44.8491327,11.9732656
1369,,44.849302,11.9732686
1370,,44.8493115,11.973349
1371,,44.8491191,11.9733548
1372,,44.8487924,11.9733444
1373,,44.8486271,11.973347
1374,,44.8484674,11.9733502
1375,,44.8482922,11.9733505
1376,,44.8481252,11.9733579
1377,,44.8478754,11.9733527
1378,,44.8476763,11.9733479
1379,,44.8474915,11.9733624
1380,,44.8474164,11.9736947
1381,,44.8474181,11.9739398
1382,,44.8474854,11.9739665
1383,,44.8476678,11.9739637
1384,,44.8481073,11.973956
1385,,44.8482808,11.9739447
1386,,44.8484717,11.9739407
1387,,44.8486501,11.9739409
1388,,44.8488339,11.973944
1389,,44.8490302,11.9739424
1390,,44.8492148,11.9739427
1391,,44.8492759,11.9735936
1392,,44.8491137,11.9735963
1393,,44.8489455,11.9736024
1394,,44.8487861,11.9736092
1395,,44.848632,11.9736025
1396,,44.8484596,11.9736007
1397,,44.848281,11.973604
1398,,44.8481232,11.9736064
1399,,44.8479556,11.97361
1400,,44.8477711,11.9736063
1401,,44.8475087,11.9736052
1402,,44.847559,11.9734274
1403,,44.847804,11.9734246
1404,,44.8479699,11.9734223
1405,,44.8481525,11.9734125
1406,,44.8483314,11.9734069
1407,,44.8485235,11.9734076
1408,,44.8487305,11.9734095
1409,,44.8489181,11.9734028
1410,,44.8491014,11.9734051
1411,,44.8492955,11.9734175
1412,,44.8492286,11.9736814
1413,,44.8490261,11.9736839
1414,,44.8488456,11.9736842
1415,,44.8486463,11.9736872
1416,,44.8484613,11.9736865
1417,,44.8482813,11.973686
1418,,44.8480795,11.9736868
1419,,44.8478808,11.9736876
1420,,44.8476952,11.9736881
1421,,44.8474994,11.9736938
1422,,44.8475022,11.9737803
1423,,44.84772,11.9737859
1424,,44.8479018,11.9737858
1425,,44.8480833,11.9737821
1426,,44.8482815,11.9737916
1427,,44.8484603,11.973788
1428,,44.8485922,11.9737813
1429,,44.8487908,11.9737741
1430,,44.8489701,11.9737755
1431,,44.8491464,11.9737721
1432,,44.849331,11.9737573
1433,,44.8492791,11.973853
1434,,44.8490776,11.9738553
1435,,44.8488887,11.9738524
1436,,44.8486983,11.9738582
1437,,44.8484907,11.9738714
1438,,44.8483059,11.9738737
1439,,44.8480512,11.9738689
1440,,44.8478724,11.9738678
1441,,44.8476865,11.9738745
1442,,44.8475036,11.9738733
1443,,44.8474251,11.9743115
1444,,44.8475497,11.974481
1445,,44.8477427,11.9744764
1446,,44.8479255,11.9744719
1447,,44.8481301,11.9744648
1448,,44.8483129,11.9744691
1449,,44.8485114,11.9744632
1450,,44.8486963,11.9744625
1451,,44.8488871,11.9744598
1452,,44.8490895,11.9744579
1453,,44.8491435,11.9740583
1454,,44.8489661,11.9740569
1455,,44.8487731,11.9740602
1456,,44.8485929,11.9740675
1457,,44.8484032,11.974076
1458,,44.8482131,11.9740893
1459,,44.8480346,11.9740932
1460,,44.8478565,11.9740923
1461,,44.8476674,11.974099
1462,,44.8474817,11.9740944
1463,,44.8474718,11.9741731
1464,,44.8476595,11.9741684
1465,,44.8478664,11.9741664
1466,,44.8480604,11.974165
1467,,44.8482503,11.9741605
1468,,44.848458,11.9741624
1469,,44.8486492,11.9741592
1470,,44.8488411,11.9741518
1471,,44.8490409,11.9741443
1472,,44.8492382,11.9741441
1473,,44.8492185,11.9743864
1474,,44.8491652,11.9743796
1475,,44.8489962,11.9743807
1476,,44.8488132,11.9743799
1477,,44.8486289,11.9743756
1478,,44.8484305,11.9743792
1479,,44.8482608,11.9743923
1480,,44.8480928,11.9743947
1481,,44.8479058,11.9744006
1482,,44.8477239,11.9743935
1483,,44.8475515,11.9743906
1484,,44.8474458,11.9742523
1485,,44.8476348,11.9742551
1486,,44.8478398,11.9742559
1487,,44.8480357,11.9742485
1488,,44.848219,11.9742506
1489,,44.8484237,11.9742455
1490,,44.8486141,11.9742358
1491,,44.8488251,11.9742336
1492,,44.8490307,11.9742348
1493,,44.8490443,11.9749569
1494,,44.8488774,11.9749675
1495,,44.8486811,11.9749669
