ID,Category,Latitude,Longitude
1,,44.8509426,11.9649185
2,,44.8507932,11.9649521
3,,44.8506153,11.9649335
4,,44.8504436,11.9649282
5,,44.8502855,11.9649399
6,,44.8501235,11.964945
7,,44.8499716,11.9649522
8,,44.8498178,11.9649458
9,,44.8496598,11.9649483
10,,44.8494831,11.9649486
11,,44.8492918,11.9649621
12,,44.8491027,11.9649556
13,,44.8488918,11.964956
14,,44.8486934,11.9649637
15,,44.8484929,11.9649629
16,,44.8483032,11.9649763
17,,44.8481039,11.9649664
18,,44.8479179,11.9649663
19,,44.8477529,11.9649712
20,,44.8475568,11.9649789
21,,44.8473982,11.9650701
22,,44.8485431,11.9652862
23,,44.8487596,11.9652911
24,,44.8489636,11.9652856
25,,44.8491659,11.9652796
26,,44.8493856,11.9652759
27,,44.8495915,11.9652737
28,,44.8497964,11.9652704
29,,44.8500142,11.9652716
30,,44.850219,11.9652674
31,,44.850425,11.9652662
32,,44.8506472,11.9652223
33,,44.8508683,11.9651697
34,,44.8509813,11.9649554
35,,44.850855,11.965194
36,,44.850592,11.9651746
37,,44.8503576,11.9651763
38,,44.8501212,11.9651799
39,,44.8498634,11.9651874
40,,44.8496245,11.9652003
41,,44.849374,11.9652032
42,,44.8491402,11.9652091
43,,44.8489364,11.9652086
44,,44.8487185,11.9652113
45,,44.848512,11.9652039
46,,44.8482992,11.9652139
47,,44.8480744,11.965221
48,,44.847871,11.9652298
49,,44.8476874,11.9652364
50,,44.8474925,11.9652348
51,,44.8474819,11.9650641
52,,44.8476605,11.9650672
53,,44.8478496,11.9650681
54,,44.8480531,11.9650535
55,,44.8482697,11.9650577
56,,44.8484774,11.965042
57,,44.848694,11.965045
58,,44.8488838,11.9650413
59,,44.8490822,11.965035
60,,44.8493003,11.9650363
61,,44.8494966,11.9650279
62,,44.8497018,11.9650344
63,,44.8499509,11.9650347
64,,44.8501823,11.9650181
65,,44.8503925,11.9650186
66,,44.8506171,11.9650108
67,,44.8508309,11.9650105
68,,44.8509863,11.9650838
69,,44.850784,11.9650767
70,,44.8505738,11.9650816
71,,44.8503732,11.9650794
72,,44.8501502,11.9650841
73,,44.8499448,11.9650931
74,,44.8497274,11.9651054
75,,44.8494879,11.9651041
76,,44.8492706,11.9651036
77,,44.8490477,11.9651085
78,,44.8488028,11.9651075
79,,44.8485717,11.9651175
80,,44.8483362,11.96512
81,,44.8480894,11.9651317
82,,44.8478563,11.9651386
83,,44.8476428,11.9651503
84,,44.8475224,11.9657334
85,,44.8477081,11.9657342
86,,44.8478871,11.965728
87,,44.8480821,11.9657267
88,,44.8482634,11.9657202
89,,44.8484464,11.9657167
90,,44.8486459,11.9657074
91,,44.848837,11.9657072
92,,44.8490356,11.9657017
93,,44.8492396,11.9656945
94,,44.8494231,11.9656857
95,,44.8496107,11.9656757
96,,44.8498115,11.9656816
97,,44.8500009,11.9656766
98,,44.8501975,11.9656749
99,,44.8508126,11.9656724
100,,44.8508521,11.9653715
101,,44.8506549,11.9653696
102,,44.850456,11.9653764
103,,44.8502561,11.965385
104,,44.8500628,11.9653962
105,,44.8498578,11.9654065
106,,44.8496647,11.9654079
107,,44.8494694,11.965406
108,,44.8492509,11.9654116
109,,44.8490492,11.9654137
110,,44.8488542,11.9654199
111,,44.8486375,11.9654241
112,,44.8484358,11.9654249
113,,44.8482365,11.9654306
114,,44.8480137,11.9654325
115,,44.8478075,11.9654392
116,,44.8476315,11.965436
117,,44.8475353,11.965524
118,,44.8477011,11.9655269
119,,44.8478717,11.965534
120,,44.8480549,11.9655232
121,,44.8482291,11.9655192
122,,44.8484161,11.9655199
123,,44.8486213,11.9655177
124,,44.8488133,11.9655093
125,,44.8490168,11.9655086
126,,44.8492099,11.9655081
127,,44.8494068,11.9654958
128,,44.8496153,11.9654939
129,,44.8498049,11.9654967
130,,44.8499973,11.9654937
131,,44.8501902,11.9654853
132,,44.8504004,11.9654815
133,,44.8505899,11.9654814
134,,44.8507919,11.965472
135,,44.8508501,11.9655526
136,,44.8506571,11.9655685
137,,44.8504439,11.9655643
138,,44.850253,11.9655763
139,,44.850063,11.965584
140,,44.8498512,11.9655917
141,,44.8496399,11.9655832
142,,44.8494446,11.9655814
143,,44.8492357,11.9655897
144,,44.8490384,11.9655938
145,,44.8488481,11.9655995
146,,44.8486351,11.9656047
147,,44.8484316,11.9656058
148,,44.8482371,11.9656059
149,,44.8480205,11.9656097
150,,44.8478193,11.9656146
151,,44.8476463,11.9656205
152,,44.8474829,11.9656198
153,,44.8506765,11.9661032
154,,44.8504872,11.9661061
155,,44.8503039,11.9661137
156,,44.8501052,11.9661064
157,,44.8499114,11.9661037
158,,44.84965,11.9661154
159,,44.8494697,11.9661205
160,,44.8492872,11.9661179
161,,44.8490954,11.9661202
162,,44.8488784,11.9661364
163,,44.8487079,11.9661343
164,,44.8485362,11.9661299
165,,44.8483737,11.9661405
166,,44.8482004,11.9661477
167,,44.848036,11.9661518
168,,44.8478702,11.9661527
169,,44.8476909,11.9661632
170,,44.8475224,11.9661673
171,,44.8474037,11.9661424
172,,44.8474326,11.9658707
173,,44.8475703,11.9658683
174,,44.8477246,11.9658665
175,,44.8479158,11.9658584
176,,44.8481092,11.9658537
177,,44.8482959,11.9658506
178,,44.8484977,11.9658556
179,,44.8486912,11.9658569
180,,44.8488838,11.9658392
181,,44.8490811,11.9658418
182,,44.8492721,11.96584
183,,44.8494655,11.9658348
184,,44.8496689,11.9658302
185,,44.8498628,11.9658148
186,,44.8500552,11.9658117
187,,44.8502598,11.9658066
188,,44.8504439,11.9657981
189,,44.8506323,11.9658009
190,,44.8508327,11.9657977
191,,44.8508319,11.9658697
192,,44.8506627,11.9658738
193,,44.8497289,11.9658936
194,,44.8495252,11.9658976
195,,44.849321,11.9659004
196,,44.8491149,11.9659103
197,,44.8488932,11.9659178
198,,44.8486866,11.96592
199,,44.8484903,11.9659291
200,,44.8482788,11.9659299
201,,44.8480901,11.9659305
202,,44.8479094,11.9659341
203,,44.8477309,11.9659355
204,,44.8475622,11.9659357
205,,44.8473917,11.9659459
206,,44.8473988,11.9660823
207,,44.8475383,11.9660687
208,,44.8476939,11.9660666
209,,44.8478526,11.9660705
210,,44.8480334,11.9660653
211,,44.8481923,11.9660678
212,,44.8483591,11.9660605
213,,44.8485357,11.9660508
214,,44.8486997,11.9660425
215,,44.8488632,11.966039
216,,44.8490326,11.96604
217,,44.849202,11.9660373
218,,44.8493698,11.9660284
219,,44.8495454,11.9660198
220,,44.8497081,11.9660205
221,,44.8498794,11.9660174
222,,44.8500625,11.9660134
223,,44.8502327,11.9660123
224,,44.8504029,11.9660054
225,,44.8505886,11.9659984
226,,44.8507669,11.9659969
227,,44.8474502,11.966573
228,,44.8476047,11.9665741
229,,44.8477529,11.9665689
230,,44.8479202,11.966572
231,,44.8480782,11.9665593
232,,44.8482319,11.9665486
233,,44.8483997,11.9665463
234,,44.8485589,11.9665476
235,,44.8487207,11.9665487
236,,44.8488948,11.9665361
237,,44.8490594,11.9665294
238,,44.8492307,11.9665262
239,,44.8493925,11.966526
240,,44.8495633,11.9665257
241,,44.849754,11.9665179
242,,44.8499456,11.9665152
243,,44.8501444,11.966513
244,,44.8503534,11.9664989
245,,44.8505543,11.9664959
